Timestamp,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
555745,24,-197,954,0,0,0
555757,25,-198,955,0,0,0
555803,26,-197,956,0,0,0
555806,26,-197,956,0,0,0
555814,26,-198,957,0,0,0
555859,27,-197,956,0,0,0
555862,27,-197,956,0,0,0
555870,27,-199,956,0,0,0
555918,25,-198,956,0,0,0
555924,25,-198,956,0,0,0
555937,25,-198,954,1,0,0
555980,26,-198,956,1,0,0
555988,26,-198,954,1,0,0
556005,26,-197,953,1,0,0
556040,26,-197,954,1,0,0
556048,26,-197,955,1,0,0
556061,25,-197,954,1,0,0
556104,25,-197,956,1,0,0
556107,25,-197,956,1,0,0
556118,25,-197,956,1,0,0
556157,25,-198,954,1,0,0
556164,27,-198,954,1,0,0
556173,26,-197,955,0,0,0
556220,27,-197,953,1,0,0
556225,26,-198,954,1,0,0
556233,25,-198,954,1,0,0
